Symbol,Name,Industry,Market Cap (Cr),Close Price (₹),Returns 1D (%),Returns 1W (%),Scan Matches Count,Matches
NSE:HFCL,HFCL Ltd,Telecom Services,24765.15,161.8,-0.64,17.1,26,"Consistent Earning growth, Consistent Revenue growth, capex capex capex, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Breakout Horizon, Turbo Surge, Buoyant Growth, Explosive Growth, Bulk Block Deals, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion"
NSE:SANDHAR,Sandhar Technologies Limited,Auto Ancillaries - 2&3 Wheelers,4160.68,691.25,-2.03,35.15,26,"Stage 2 candidate, Technically Strong , Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, GARP SHANKAR NATH, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Cyclone, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months, Strong Quarterly Growth"
NSE:ACUTAAS,Acutaas Chemicals Ltd,Pharma - API & CRAMS,24846.25,3034.8,3.8,5.14,26,"Consistent Revenue growth, Increasing ebitda margins, capex capex capex, Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Alpha Leaders, Explosive Growth, Smart Money Moves, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 1 Year, Margin Expansion"
NSE:IOLCP,IOL Chemicals & Pharmaceuticals Ltd,Pharma - API & CRAMS,3993.74,136.06,9.73,23.56,25,"Stage 2 candidate, Technically Strong , Monthly check Industry RS, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Breakout Horizon, Cyclone, Alpha Leaders, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:BAJAJCON,Bajaj Consumer Care Ltd,FMCG - Personal Care,7246.7,554.8,-1.25,5.33,25,"Increasing ebitda margins, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Explosive Growth, Institutional Influx, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion"
NSE:JNKINDIA,JNK India Ltd,Capital Goods - Engineering Heavy,2112.54,377.55,-0.59,6.68,25,"Consistent Revenue growth, Increasing ebitda margins, Technically Strong , capex capex capex, Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, EMA +RS+ VStop, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Cyclone, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:POCL,Pondy Oxides & Chemicals Ltd,Recycling,4253.27,1394.0,-7.53,-8.88,25,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Golden Crossover Weekly, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, The Consolidators, Techno Funda, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Result Calendar"
NSE:SANSERA,Sansera Engineering Ltd,Auto Ancillaries - Diversified,17950.38,2879.8,-0.87,20.17,24,"Stage 2 candidate, Increasing ebitda margins, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Volume Rocketing, Cyclone, Alpha Leaders, Buoyant Growth, Smart Money Moves, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 1 Year, Post Earnings Announcement Drift (PEAD)"
NSE:NGLFINE,NGL Fine Chem Ltd,Pharma - Animal,1742.08,2819.8,-1.37,23.85,24,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Techno Funda, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 1 Year, Margin Expansion, Strong Quarterly Growth"
NSE:VIYASH,Viyash Scientific Ltd,Pharma - Animal,11243.43,257.36,-1.38,12.52,24,"Stage 2 candidate, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Cyclone, Turbo Surge, The Consolidators, Margin Mavericks, Buoyant Growth, Explosive Growth, Margin Expansion"
NSE:OBSCP,OBSC Perfection Ltd,Auto Ancillaries - Diversified,1159.3,448.55,-4.62,21.61,24,"Stage 2 candidate, Consistent Revenue growth, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Strong Quarterly Growth, Post Earnings Announcement Drift (PEAD)"
NSE:YASHO,Yasho Industries Ltd,Speciality Chemicals,2712.61,2249.8,6.59,23.7,24,"Stage 2 candidate, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Breakout Horizon, Margin Mavericks, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months"
NSE:VMARCIND,V-Marc India Ltd,Cables - Power,2790.43,1142.65,-1.01,9.29,24,"Stage 2 candidate, Consistent Revenue growth, Technically Strong , Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Alpha Leaders, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Strong Quarterly Growth"
NSE:MARKSANS,Marksans Pharma Ltd,Pharma - Formulators,11546.16,254.79,15.68,17.25,24,"Increasing ebitda margins, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Debt Reducing, Golden Crossover Weekly, Golden Crossover Daily, Early Stage 2 New, Near 52WH with Volume, EMA +RS+ VStop, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Cyclone, Buoyant Growth, Institutional Influx, Index Outperformance 3 Months, Margin Expansion"
NSE:KRISHANA,Krishana Phoschem Ltd,Fertilisers,4071.56,672.4,0.83,-1.36,24,"Stage 2 candidate, Technically Strong , Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Alpha Leaders, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Strong Quarterly Growth"
NSE:DIACABS,Diamond Power Infrastructure Ltd,Cables - Power,10889.86,206.65,5.12,8.63,24,"Stage 2 candidate, Consistent Earning growth, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Alpha Leaders, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Margin Expansion"
NSE:VEDL,Vedanta Ltd,Mining/Minerals,134869.28,344.9,3.73,2.15,24,"Stage 2 candidate, Increasing ebitda margins, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Alpha Leaders, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Strong Quarterly Growth"
NSE:RRKABEL,R R Kabel Ltd,Cables - Power,22365.48,1977.4,-0.59,3.05,24,"Stage 2 candidate, Technically Strong , capex capex capex, Monthly check - ATH, Monthly check Industry RS, Debt Reducing, GARP SHANKAR NATH, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Techno Funda, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Strong Quarterly Growth"
NSE:SEAMECLTD,SEAMEC Ltd,Shipping,4055.8,1595.2,-2.24,2.15,24,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Volume Rocketing, Turbo Surge, Techno Funda, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Strong Quarterly Growth"
NSE:GLAND,Gland Pharma Ltd,Pharma - API & CRAMS,38024.13,2307.9,-1.11,2.52,24,"Stage 2 candidate, Technically Strong , Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Buoyant Growth, Smart Money Moves, Index Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:BLISSGVS,Bliss GVS Pharma Ltd,Pharma - Formulators,4031.09,381.05,20.0,34.74,24,"Technically Strong , Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Volume Rocketing, Alpha Leaders, Techno Funda, Buoyant Growth, Insider Trading Selling, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion"
