Symbol,Name,Industry,Market Cap (Cr),Close Price (₹),Returns 1D (%),Returns 1W (%),Scan Matches Count,Matches
NSE:REDTAPE,Redtape Ltd,Footwear,8208.64,148.49,11.5,15.66,22,"Stage 2 candidate, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Early Stage 2 New, Near 52WH with Volume, EMA +RS+ VStop, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Short Term Breakout, Volume Rocketing, Cyclone, Buoyant Growth, Index Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth, Result Calendar"
NSE:HONASA,Honasa Consumer Ltd,New age - Platform - E-Retail,12884.64,396.0,1.21,11.71,22,"Stage 2 candidate, Increasing ebitda margins, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Buoyant Growth, Bulk Block Deals, Index Outperformance 3 Months, Margin Expansion"
BSE:ROBU,Macfos Ltd,E-Commerce - Platform - Utility,1187.08,1146.0,1.31,5.2,22,"Consistent Revenue growth, Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Breakout Horizon, Turbo Surge, Index Outperformance 3 Months, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion, Strong Quarterly Growth"
BSE:RPEL,Raghav Productivity Enhancers Ltd,Steel Products,4339.62,945.0,-0.51,3.17,22,"Stage 2 candidate, Increasing ebitda margins, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Golden Crossover Weekly, Golden Crossover Daily, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Monthly Trend Twist, Cyclone, The Consolidators, Margin Mavericks, Buoyant Growth, Bulk Block Deals, Index Outperformance 3 Months"
NSE:GESHIP,Great Eastern Shipping Company Ltd,Shipping,23566.58,1650.7,0.13,-3.8,22,"Stage 2 candidate, Consistent Earning growth, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Volume Rocketing, Alpha Leaders, Buoyant Growth, Bulk Block Deals, Index Outperformance 3 Months, Index Outperformance 1 Year, Margin Expansion"
NSE:LLOYDSME,Lloyds Metals & Energy Ltd,Mining/Minerals - Iron Ore,104323.47,1853.7,2.9,11.37,22,"Consistent Revenue growth, Technically Strong , capex capex capex, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Techno Funda, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:SIGMAADV,Sigma Advanced System Ltd,Aerospace & Defence - Equipments,6791.4,385.35,5.0,27.6,22,"Consistent Revenue growth, Technically Strong , Monthly check - ATH, Monthly check Industry RS, Driving Deleverage, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, 200EMa momentum 52weekhigh, Cyclone, Turbo Surge, Alpha Leaders, Techno Funda, Driving Deleverage, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Result Calendar, Post Earnings Announcement Drift (PEAD)"
NSE:V2RETAIL,V2 Retail Ltd,Textiles - Readymade Apparel,8692.23,238.38,-0.16,5.46,22,"Stage 2 candidate, Consistent Revenue growth, capex capex capex, Tod fod Blockbuster results, Monthly check Industry RS, Debt Reducing, GARP SHANKAR NATH, Golden Crossover Weekly, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Short Term Breakout, Cyclone, The Consolidators, Margin Mavericks, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Result Calendar"
NSE:BALAMINES,Balaji Amines Ltd,Chemicals - Organic,6070.0,1873.4,-2.47,9.63,21,"Stage 2 candidate, Technically Strong , Monthly check Industry RS, Early Stage 2, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Cyclone, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion"
NSE:INDOBORAX,Indo Borax & Chemicals Ltd,Chemicals - Inorganic,1067.79,332.75,-0.27,20.13,21,"Stage 2 candidate, Technically Strong , Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Buoyant Growth, Institutional Influx, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
NSE:RAIN,Rain Industries Ltd,Cement,5793.89,172.26,-3.75,12.21,21,"Technically Strong , Monthly check Industry RS, Relative Strength Index + volume, Golden Crossover Weekly, Driving Deleverage, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Monthly Trend Twist, Cyclone, Techno Funda, Driving Deleverage, Buoyant Growth, Bulk Block Deals, Industry Outperformance 3 Months, Margin Expansion"
NSE:CUPID,Cupid Ltd,Contraceptives/Protectives,17190.14,127.84,2.53,11.81,21,"Consistent Earning growth, Consistent Revenue growth, Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Alpha Leaders, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Margin Expansion"
NSE:SAKAR,Sakar Healthcare Ltd,Hospitals,1749.73,786.4,-1.82,2.56,21,"Stage 2 candidate, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Margin Mavericks, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
BSE:BMW,BMW Industries Ltd,Steel Products,1207.59,53.65,-3.37,-1.31,21,"Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Golden Crossover Weekly, Golden Crossover Daily, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Monthly Trend Twist, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:POWERINDIA,Hitachi Energy India Ltd,Electrical Equipments/HVDC,160438.22,35995.0,1.01,7.9,21,"Consistent Revenue growth, Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Margin Mavericks, Buoyant Growth, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Result Calendar"
NSE:THANGAMAYL,Thangamayil Jewellery Ltd,"Diamond, Gems & Jewellery",11827.33,3805.2,-0.5,4.16,21,"Consistent Earning growth, Increasing ebitda margins, Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, The Consolidators, Techno Funda, Buoyant Growth, Explosive Growth, Index Outperformance 1 Year, Industry Outperformance 1 Year, Margin Expansion, Strong Quarterly Growth"
NSE:ASTRAMICRO,Astra Microwave Products Ltd,Aerospace & Defence - Equipments,12884.04,1357.0,9.83,24.19,21,"Stage 2 candidate, Increasing ebitda margins, Monthly check - ATH, Early Stage 2, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Volume Rocketing, Cyclone, Alpha Leaders, Buoyant Growth, Smart Money Moves, Bulk Block Deals, Index Outperformance 3 Months, Result Calendar"
NSE:MCX,Multi Commodity Exchange of India Ltd,Exchanges,84333.45,3307.3,-0.2,-3.15,21,"Increasing ebitda margins, Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, GARP SHANKAR NATH, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 1 Year, Margin Expansion"
NSE:MINDACORP,Minda Corporation Ltd,Auto Ancillaries - Diversified,14224.03,594.95,1.64,14.37,21,"Stage 2 candidate, Increasing ebitda margins, Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Short Term Breakout, Volume Rocketing, Cyclone, Margin Mavericks, Buoyant Growth, Strong Quarterly Growth"
NSE:IDEAFORGE,Ideaforge Technology Ltd,Aerospace & Defence - Equipments,3711.38,855.4,5.0,10.11,21,"capex capex capex, Monthly check Industry RS, Early trend picker, Golden Crossover Weekly, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Cyclone, Turbo Surge, Alpha Leaders, Explosive Growth, Bulk Block Deals, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Margin Expansion"
NSE:PREMEXPLN,Premier Explosives Ltd,Industrial Explosives,3900.64,725.55,1.53,38.27,21,"Stage 2 candidate, Monthly check Industry RS, Early Stage 2, Relative Strength Index + volume, Debt Reducing, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, Strugglers, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Cyclone, Bulk Block Deals, Index Outperformance 3 Months, Result Calendar"
NSE:BSE,BSE Ltd,Exchanges,179346.0,4403.3,2.61,5.07,21,"Consistent Revenue growth, Tod fod Blockbuster results, Monthly check - ATH, Monthly check Industry RS, Early trend picker, GARP SHANKAR NATH, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Explosive Growth, Smart Money Moves, Institutional Influx, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months"
NSE:CEMPRO,Cemindia Projects Ltd,Infra - Construction & Contracting,16204.72,943.3,7.2,8.64,21,"Increasing ebitda margins, Technically Strong , Monthly check - ATH, Monthly check Industry RS, GARP SHANKAR NATH, Golden Crossover Weekly, Improving inventory days, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Cyclone, The Consolidators, Techno Funda, Bulk Block Deals, Index Outperformance 3 Months, Industry Outperformance 3 Months, Strong Quarterly Growth"
NSE:KIRLPNU,Kirloskar Pneumatic Company Ltd,Compressors,10796.05,1662.0,0.13,5.09,21,"Increasing ebitda margins, Technically Strong , Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Breakout Horizon, Cyclone, Alpha Leaders, Insider Trading Selling, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion"
NSE:GVPIL,GE Power India Ltd,Infra - General,5362.06,797.6,3.8,26.05,21,"Increasing ebitda margins, Technically Strong , Monthly check Industry RS, Debt Reducing, Driving Deleverage, Taaza Taaza 52WH, Improving inventory days, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, 200EMa momentum 52weekhigh, Long Term Breakout, Turbo Surge, Alpha Leaders, Driving Deleverage, Margin Mavericks, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion"
NSE:SKIPPER,Skipper Ltd,Electrical Equipments/HVDC,5668.32,501.9,4.49,7.54,21,"capex capex capex, Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Golden Crossover Weekly, Golden Crossover Daily, Improving inventory days, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Short Term Breakout, Cyclone, Turbo Surge, The Consolidators, Buoyant Growth, Index Outperformance 3 Months, Strong Quarterly Growth"
NSE:STLTECH,Sterlite Technologies Ltd,Cables - Telecom,23740.33,486.35,5.0,21.31,20,"Monthly check - ATH, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Alpha Leaders, Smart Money Moves, Insider Trading Buying, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year"
BSE:ONIXSOLAR,Onix Solar Energy Ltd,Trading,2724.72,739.05,,-2.0,20,"Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Alpha Leaders, Techno Funda, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion, Strong Quarterly Growth"
NSE:JAYBARMARU,Jay Bharat Maruti Ltd,Auto Ancillaries - Diversified,1253.21,115.77,-4.24,34.52,20,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, GARP SHankar Nath youtube stock scans, Taaza Taaza 52WH, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Techno Funda, Buoyant Growth, Margin Expansion, Strong Quarterly Growth"
NSE:SIS,SIS Ltd,Facility Management,5629.2,398.4,2.25,-1.45,20,"Increasing ebitda margins, Technically Strong , Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, Golden Crossover Weekly, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Monthly Trend Twist, Cyclone, Turbo Surge, Explosive Growth, Index Outperformance 3 Months, Strong Quarterly Growth"
NSE:UNIVCABLES,Universal Cables Ltd,Cables - Power,4090.76,1179.05,1.13,18.44,20,"Stage 2 candidate, Technically Strong , capex capex capex, Monthly check - ATH, Monthly check Industry RS, Relative Strength Index + volume, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, 200EMa momentum 52weekhigh, Cyclone, Turbo Surge, Alpha Leaders, Explosive Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Post Earnings Announcement Drift (PEAD)"
NSE:SANGHVIMOV,Sanghvi Movers Ltd,Capital Goods - EPC/Cranes,3303.31,381.55,0.78,19.09,20,"Stage 2 candidate, capex capex capex, Monthly check Industry RS, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Short Term Breakout, Volume Rocketing, Cyclone, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Industry Outperformance 3 Months, Post Earnings Announcement Drift (PEAD)"
NSE:IBULLSLTD,Indiabulls Limited,Diversified,4674.33,20.11,0.75,14.52,20,"Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, Early trend picker, Golden Crossover Weekly, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Cyclone, Turbo Surge, Techno Funda, Explosive Growth, Insider Trading Buying, Index Outperformance 3 Months, Industry Outperformance 3 Months, Margin Expansion"
BSE:FREDUN,Fredun Pharmaceuticals Ltd,Pharma - Formulators,1321.83,2397.8,0.57,1.39,20,"Consistent Revenue growth, Technically Strong , Tod fod Blockbuster results, Monthly check - ATH, PAT YOY>> Rev YOY, Early trend picker, Taaza Taaza 52WH, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Turbo Surge, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Margin Expansion"
NSE:CARYSIL,Carysil Ltd,Building Material USA,3158.12,1110.35,-0.56,20.74,20,"Stage 2 candidate, Technically Strong , Monthly check - ATH, Monthly check Industry RS, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Breakout Horizon, Cyclone, Techno Funda, Index Outperformance 3 Months"
NSE:SHYAMMETL,Shyam Metalics & Energy Ltd,Steel Products,27329.8,979.1,1.77,8.13,20,"Stage 2 candidate, capex capex capex, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Golden Crossover Weekly, Golden Crossover Daily, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Smallcap Heroes, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Short Term Breakout, Cyclone, Buoyant Growth, Strong Quarterly Growth"
BSE:SGFIN,SG Finserve Ltd,Finance & Investments - MSME Lending,3777.1,573.2,-0.97,0.86,20,"Consistent Earning growth, Consistent Revenue growth, Increasing ebitda margins, Technically Strong , Monthly check Industry RS, Early trend picker, GARP SHankar Nath youtube stock scans, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Turbo Surge, Techno Funda, Bulk Block Deals, Insider Trading Buying, Index Outperformance 3 Months, Industry Outperformance 3 Months, Strong Quarterly Growth"
BSE:MODINSU,Modern Insulators Ltd,Capital Goods - Electric General,2137.03,453.3,4.99,21.63,20,"Technically Strong , Monthly check - ATH, Monthly check Industry RS, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Cyclone, Turbo Surge, Alpha Leaders, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 3 Months, Industry Outperformance 1 Year, Result Calendar"
NSE:HESTERBIO,Hester Biosciences Ltd,Pharma - Animal,1834.42,2156.4,13.81,20.03,20,"Stage 2 candidate, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2, Relative Strength Index + volume, Golden Crossover Weekly, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Long Term Breakout, Short Term Breakout, Monthly Trend Twist, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:VERANDA,Veranda Learning Solutions Ltd,Computer Education,2285.11,237.24,-0.26,0.97,19,"Stage 2 candidate, Monthly check Industry RS, Golden Crossover Weekly, Improving inventory days, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Short Term Breakout, Monthly Trend Twist, Cyclone, Techno Funda, Buoyant Growth, Bulk Block Deals, Index Outperformance 3 Months, Industry Outperformance 3 Months, Result Calendar"
NSE:PACEDIGITK,Pace Digitek Ltd,Engineering - Turnkey Services,4342.5,201.18,5.66,12.88,19,"Consistent Revenue growth, Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Relative Strength Index + volume, Improving inventory days, Near 52WH with Volume, MUNAFA HUA HAI, GARP, Modest result + technicals, Volume Rocketing, Monthly Trend Twist, Cyclone, Buoyant Growth, Margin Expansion, Strong Quarterly Growth, Result Calendar, Post Earnings Announcement Drift (PEAD)"
NSE:ANTELOPUS,Antelopus Selan Energy Ltd,Oil Drilling & Exploration,2696.43,766.85,5.0,2.21,19,"Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Debt Reducing, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, GARP, SIMPLE VALUATION ALL WEATHER, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Techno Funda, Index Outperformance 3 Months, Strong Quarterly Growth"
NSE:NLCINDIA,NLC India Ltd,Power - Generation/Distribution,47617.1,343.4,0.45,-4.17,19,"Stage 2 candidate, Technically Strong , Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Alpha Leaders, Techno Funda, Buoyant Growth, Index Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:NEULANDLAB,Neuland Laboratories Ltd,Pharma - API & CRAMS,21901.9,17071.0,1.87,1.67,19,"Stage 2 candidate, Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Golden Crossover Weekly, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Short Term Breakout, Cyclone, Turbo Surge, The Consolidators, Buoyant Growth, Index Outperformance 3 Months, Margin Expansion"
NSE:CEIGALL,Ceigall India Ltd,Construction - Civil/Turnkey,6148.56,352.95,3.25,8.28,19,"Technically Strong , Tod fod Blockbuster results, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, GARP SHANKAR NATH, Improving inventory days, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Modest result + technicals, Long Term Breakout, Breakout Horizon, Techno Funda, Index Outperformance 3 Months, Margin Expansion, Strong Quarterly Growth"
NSE:TDPOWERSYS,TD Power Systems Ltd,Capital Goods - Gensets/Turbines,21359.55,1367.2,5.02,8.83,19,"Stage 2 candidate, Monthly check - ATH, Taaza Taaza 52WH, Early Stage 2 New, Near 52WH with Volume, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, Weak Index Strong stocks Microcap 250, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Turbo Surge, Alpha Leaders, Buoyant Growth, Smart Money Moves, Index Outperformance 3 Months, Index Outperformance 1 Year, Industry Outperformance 1 Year"
BSE:DECNGOLD,Deccan Gold Mines Ltd,Mining/Minerals,3514.73,177.6,20.0,30.78,18,"Monthly check - ATH, Monthly check Industry RS, Early trend picker, Golden Crossover Weekly, Golden Crossover Daily, Taaza Taaza 52WH, Early Stage 2 New, Weak Index Strong Stocks (Microcap-250), SOIC LTI +ve, MUNAFA HUA HAI, 200EMa momentum 52weekhigh, Modest result + technicals, Volume Rocketing, Monthly Trend Twist, Cyclone, Buoyant Growth, Insider Trading Buying, Index Outperformance 3 Months"
NSE:SUVEN,Suven Life Sciences Ltd,Pharma - Formulators,7224.1,273.93,1.07,1.67,18,"Stage 2 candidate, capex capex capex, Monthly check Industry RS, Early Stage 2, Debt Reducing, Golden Crossover Weekly, Early Stage 2 New, Near 52WH with Volume, SOIC LTI +ve, Strugglers, 200EMa momentum 52weekhigh, Long Term Breakout, Volume Rocketing, Monthly Trend Twist, Cyclone, Alpha Leaders, Index Outperformance 3 Months, Industry Outperformance 3 Months"
NSE:CRAFTSMAN,Craftsman Automation Ltd,Auto & Auto Ancl - CV,20676.83,8667.5,-0.29,1.54,18,"Increasing ebitda margins, Technically Strong , capex capex capex, Monthly check Industry RS, PAT YOY>> Rev YOY, Early trend picker, Improving inventory days, Early Stage 2 New, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 200EMa momentum 52weekhigh, Cyclone, Turbo Surge, Techno Funda, Smart Money Moves, Institutional Influx, Industry Outperformance 3 Months"
NSE:HARSHA,Harsha Engineers International Ltd,Bearings,3639.03,399.7,-0.62,-2.09,18,"Stage 2 candidate, Technically Strong , Tod fod Blockbuster results, PAT YOY>> Rev YOY, Early trend picker, Golden Crossover Weekly, Early Stage 2 New, Near 52WH with Volume, EMA +RS+ VStop, SOIC LTI +ve, MUNAFA HUA HAI, GARP, 220 DMA strategy momentum, 200EMa momentum 52weekhigh, Cyclone, Buoyant Growth, Margin Expansion, Strong Quarterly Growth"
